decoupled_menus	decoupled_menus	1.0.x-dev	project_module	NULL	26	3202504	decoupled_menus:primary:"^9"
decoupled_pages	decoupled_pages	1.x-dev	project_module	NULL	122	3106670	decoupled_pages_test:subcomponent:"^8 || ^9",decoupled_pages:primary:"^8 || ^9"
decoupled_preview	decoupled_preview	1.0.x-dev	project_module	NULL	48	3276700	decoupled_preview:primary:"^8 || ^9"
decoupled_rest_views	decoupled_rest_views	1.x-dev	project_module	NULL	4	2898575	decoupled_rest_views:primary:""
decoupled_router	decoupled_router	2.x-dev	project_module	NULL	1524	3172018	decoupled_router:primary:"^8.8 || ^9"
decoupled_routes	decoupled_routes	1.0.x-dev	project_module	NULL	NULL	3202305	decoupled_routes:primary:"^8 || ^9"
decoupled_toolbox	decoupled_toolbox	1.5.x-dev	project_module	NULL	7	3274763	openapi_decoupled_toolbox:subcomponent:"^8 || ^9",decoupled_toolbox_redirect:subcomponent:"^8 || ^9",decoupled_toolbox_group_content_menu:subcomponent:"",decoupled_toolbox_group:subcomponent:"^8 || ^9",decoupled_toolbox_duration_field:subcomponent:"^8 || ^9",decoupled_toolbox_decoupled_router:subcomponent:"^8 || ^9",decoupled_toolbox_color_field:subcomponent:"^8 || ^9",decoupled_toolbox:primary:"^8 || ^9"
default_class	default_class	1.0.x-dev	project_module	NULL	NULL	3301473	default_class:primary:"^8 || ^9 || ^10"
default_content_access	default_content_access	1.x-dev	project_module	NULL	5	3031945	default_content_access:primary:"^8 || ^9 || ^10"
default_content_access	default_content_access	2.0.x-dev	project_module	NULL	5	3138922	default_content_access:primary:"^8.8 || ^9 || ^10"
default_content	default_content	1.x-dev	project_module	NULL	15478	2578777	default_content:primary:"^8.7.7 || ^9"
default_content	default_content	2.0.x-dev	project_module	NULL	15478	3160060	default_content:primary:"^9.1 || ^10"
default_content_deploy	default_content_deploy	2.0.x-dev	project_module	NULL	1750	3256212	default_content_deploy:primary:"^9.2 || ^10.0"
default_content_extra	default_content_extra	1.x-dev	project_module	NULL	424	2844691	default_content_extra:primary:"^8 || ^9"
default_menu_link	default_menu_link	1.0.x-dev	project_module	NULL	147	3187580	default_menu_link:primary:"^8 || ^9"
default_paragraphs	default_paragraphs	2.0.0-rc1	project_module	NULL	710	3190275	default_paragraphs:primary:"^8 || ^9"
default_toolbar_menu	default_toolbar_menu	2.0.0	project_module	NULL	36	3249294	default_toolbar_menu:primary:"^8 || ^9"
default_widget	default_widget	1.0.x-dev	project_module	NULL	3	3204444	default_widget:primary:"^8 || ^9"
default_widget	default_widget	2.x-dev	project_module	NULL	3	3205496	default_widget:primary:"^8 || ^9"
degov_simplenews	degov_simplenews	1.x-dev	project_module	NULL	124	3001913	degov_simplenews:primary:"^8 || ^9"
degov_simplenews	degov_simplenews	2.0.x-dev	project_module	NULL	124	3154516	degov_simplenews:primary:"^8 || ^9"
delegate_permissions	delegate_permissions	1.0.x-dev	project_module	NULL	2	3165969	delegate_permissions:primary:"^8 || ^9"
delete_all	delete_all	2.x-dev	project_module	NULL	2271	3160023	delete_all:primary:"^8 || ^9"
delete_book	delete_book	1.0.0	project_module	NULL	12	3254005	delete_book:primary:"^8.8 || ^9 || ^10"
delete_files	delete_files	1.5	project_module	NULL	566	3142940	delete_files:primary:"^8.8 || ^9"
delivery	delivery	1.x-dev	project_module	NULL	NULL	3066752	workspaces_negotiator_path:subcomponent:"",workspaces_allowed_languages:subcomponent:"",delivery_update:subcomponent:"",delivery:primary:"^8.8 || ^9"
delta_filter	delta_filter	8.1.0	project_module	NULL	25	3174029	delta_filter:primary:"^8 || ^9"
denormalized_webform_filters	denormalized_webform_filters	1.0.0-alpha1	project_module	NULL	1	3206816	denormalized_webform_filters:primary:"^8.7.7 || ^9"
denormalizer	denormalizer	1.x-dev	project_module	NULL	NULL	3051078	denormalizer:primary:"^8 || ^9"
depcalc	depcalc	1.x-dev	project_module	NULL	1738	2986203	depcalc_ui:subcomponent:">=9.2",depcalc:primary:">=9.2"
dependent_fields	dependent_fields	1.x-dev	project_module	NULL	228	3223826	dependent_fields:primary:"^8.9 || ^9"
deploy_key	deploy_key	1.x-dev	project_module	NULL	NULL	3033600	deploy_key:primary:"^8 || ^9"
deployment	deployment	1.0.x-dev	project_module	NULL	7	3224156	deployment_example:subcomponent:"^8 || ^9",deployment:primary:"^8 || ^9"
deprecation_status	deprecation_status	5.x-dev	project_module	NULL	1	3267202	deprecation_status:primary:"^9.3 || ^10"
